id,post_title,word2vec
78,JavaScript对Select的子元素Option的操作,"[-0.14885659051629213,0.08821403505280614,0.1431138943307675,0.19326831835966846,-0.005973554058716848]"
83,当用header方法输出内容时出现“Cannot modify header information - headers already sent by”的解决方法,"[0.0031528335927826605,-0.12577329448810437,0.238294109543104,-0.015746686289586673,0.050099511173690055]"
85,linux下禁止机箱蜂鸣方法,"[-0.034088521454991264,-0.11282251103892288,0.24055278800766577,-0.06703752638581632,0.06501111843813719]"
87,硬盘分区表丢失、修复大事记--分区表修复利器testdisk,"[-0.0936333967572984,-0.14972407103434288,0.2054558451013041,-0.09017776903008101,0.015179219212418852]"
91,vi编辑器命令,"[-0.05896361769986776,-0.1979471405595129,0.2703495010511076,-0.05721079099169248,0.20943420602264196]"
94,搜索关键词高亮显示,"[-0.11533778194404606,-0.017067432450130583,0.2256964878179133,-0.047839279605873995,0.05219113104311483]"
97,PHP IE下载时提示”无法复制 无法读取源文件或磁盘”的解决办法,"[-0.03349058120751504,-0.05837745729056139,0.16942858247364842,-0.06320139374007884,-0.006887654490653694]"
99,PHP中文乱码解决,"[-0.024100321163452648,0.14046190366582395,0.1179859549679893,0.09146177787203767,-0.00484012523204756]"
103,文件下载代码-来自PBDigg,"[0.010668657799592106,0.37482725809578127,-0.09012823610952715,0.28830140412972516,-0.14427240778516023]"
105,PHP安全笔记,"[-0.053212692082052176,0.02478521325036868,0.22408448079293072,0.024146384100687233,0.12224077474020457]"
107,PHP输出Excel实例代码,"[-0.11771527350835591,0.28441102233419785,-0.13053985045118602,0.3676387939077919,0.273001638414829]"
109,java环境变量配置,"[0.10330186019707675,-0.17389437340643515,0.2868101559953261,-0.07084747740189905,0.11449585611448473]"
111,AJAX中文乱码PHP完美解决(IE和Firefox兼容),"[-0.03993875270424755,-0.11532262548549606,0.2120245550958884,-0.05344069825582726,0.026562880405696765]"
113,phpmyadmin无法加载mcrypt的解决方法,"[-0.08870227202359172,-0.14235565372742712,0.35417358614193895,-0.14423793103752866,0.08075617216993124]"
115,删除记录之前-切记要检查是不是存在该记录,"[-0.12408699975440315,-0.1566962055478464,0.2769916251429594,-0.04934575237041595,0.08602407782831613]"
117,项目经历2-电子台账系统,"[-0.06682426275746932,-0.1654730854063945,0.2056843534931277,-0.13356130319303736,-0.001256305321321805]"
119,日期选择控件-date_input,"[0.00942362084568135,0.25587775477355246,0.009047625243271651,0.08889399905149874,0.038859167148506166]"
122,PHP只下载不打开文件,"[0.0016998124393549831,-0.024727817167612638,0.22812053489527015,-0.07061546392682376,0.027077595078188813]"
124,Javascript trim()函数实现,"[-0.12625825020626913,0.07537802025261853,0.124842229200941,0.18570586384739726,-0.01862576917046681]"
126,PHP获取IP的多种方式解析,"[0.01015017418255813,0.4930692949145491,0.1895609145678125,-0.22423603734594422,0.10844210322153061]"
128,PHP删除无限分类并同时删除它下面的所有子分类的方法,"[-0.16500290403974816,0.2809068350334394,0.254333551418274,0.12652350632855272,0.05873195469587486]"
130,PHP-非常好用的文件操作类,"[-0.10402771061316678,0.39289130626508084,0.030644956474475057,0.2208151676409447,0.16674008458884063]"
132,屏幕取色工具,"[-0.03461479147451676,-0.11747060567987236,0.12060379203070294,-0.06795147611674937,0.01921037118881941]"
134,网上选课系统-进度,"[-0.0690170903276349,-0.14690465925558524,0.15270996494049197,-0.10803257619772143,0.002218167017347616]"
136,php实现当前用户在线人数,"[-0.13391497681935338,0.24498079240127185,0.12895513305489276,-0.04058131880159382,0.07270644579846196]"
138,获取服务器传来的数据-必须用JS去空格,"[-0.14105436299956337,-0.0953967650757008,0.2762403267570147,0.027661864919415146,0.07478190557167087]"
142,mysql-修改root密码的方法,"[-0.008419386355296498,0.21039187463541184,0.10267801992144555,0.02706944754707717,-0.03382687907545797]"
144,PHP验证码-类,"[-0.17527418241620113,0.43476082674478317,-0.1386600315078677,0.14207244562866528,-0.09221238051123379]"
146,Fckeditor-动态增减按钮的方法,"[-0.08903753268963623,-0.016937169651673346,0.12470206425576988,0.05857156180368124,0.01191175726018156]"
149,phpexcel-自己写的几个非常好用的函数,"[-0.09461515322604244,0.6560661635467654,-0.35937508249408706,0.5271838684428004,-0.2540019781404811]"
151,PHP操作EXCEL相关,"[-0.24536344524002673,0.7207653172717828,-0.4215332304494239,0.6175608740929546,-0.36182532727021843]"
153,Apache禁止目录访问方法介绍,"[0.06874190799312711,-0.019923389491784137,0.2617514536126482,-0.10709566494063814,0.0991855841899237]"
155,php函数-计算两个日期相差多少天,"[-0.009380048083394397,0.2367657981870443,-0.047078605068640575,0.18889634967724114,0.1273919170072739]"
157,毕业设计出现的一个严重错误----文件不能相互引用,"[-0.10525723793343592,-0.2087769640549537,0.25843104686568025,-0.06518400668777447,0.03751576685106322]"
159,PHP从checkbox取值,"[-0.11372557516472462,0.2526152962579941,0.20032702659805998,0.19714321002053717,0.05806277755600137]"
161,PHP-浏览器参数防注入检测函数,"[-0.07318845474057728,0.18160951934340927,0.23684768826804228,0.12431284592797359,0.10990112775729763]"
179,筛选出来的常用jQuery幻灯片插件,"[-0.02264228583602556,-0.06690586874282908,0.08307582757906752,-0.08493820940955253,-0.09159545513437312]"
191,jQuery圆角工具jQuery Corner,"[0.02844697441799905,-0.06123060682280497,0.011418233900754289,-0.12886681492355737,-0.04129490527239713]"
195,非常好用的一款磁盘管理工具Acronis Disk Director Suite,"[-0.03125391220479893,-0.11038553374560756,0.06382231617398146,-0.12903708886976042,-0.08367236747613384]"
198,ubuntu官方live cd和dvd下载地址,"[0.12433258393922678,0.11604816276723376,0.09797612405740298,-0.5235996085863848,-0.06501113365475948]"
204,"推荐一个可以用u盘安装fedora,ubuntu等Linux的工具","[0.06972342754791801,-0.07405463564727041,0.22849207143816683,-0.34685601407868993,-0.018111497189642653]"
206,对自己将来的一些思考,"[-0.07501363121027257,-0.19632398894294922,0.15388929608026194,-0.09556243566763696,-0.07794037334171536]"
210,使用DEDE的全国地区分类导入到其它CMS,"[-0.07669223149138156,0.25301484529878576,0.19525319843224304,0.1091060652443226,0.033485569160285535]"
215,17个非常有用的PHP类和库,"[0.018956582385265052,-0.08424544552132311,0.19402164657779483,-0.20195829176572688,0.01462348479764525]"
219,navicat-MySQL前台管理工具利器,"[-0.05432239183455676,-0.1396183683896604,0.24063384749479896,-0.15528400486706176,-0.017997098523731596]"
224,9个高质量图标的最佳搜索引擎,"[-0.15022104297205807,-0.09573177361488343,0.14742310226708652,-0.07778987452667206,-0.0521914245900698]"
234,C++标准库string类型学习笔记,"[-0.13503111047735114,-0.0903241503474057,0.24218493938070734,0.230481605207668,0.02440513422323474]"
236,C++数组类型学习笔记,"[-0.19317751539724498,-0.19911704099676744,0.3582955920654866,0.10575247122431863,0.10327935209109758]"
245,数据采集利器-PHP用DOM方式处理HTML之《Simple HTML DOM》,"[0.0076797367396147535,0.09456505915031407,0.09244087475031662,-0.16752307936786467,0.018620522264213225]"
251,"c++字符集之间转换(UTF-8,UNICODE,Gb2312)","[-0.19298894792639962,0.05453908881560589,0.0880619060523006,0.4691277095782829,-0.22146522191792933]"
254,C++实现字符串与数字的连接,"[-0.08791932493325447,0.014201880934146736,0.19856222402713786,0.17205983754452114,0.033004549864147394]"
259,win7下快速硬盘安装ghost xp的方法,"[-0.05243311997037381,-0.17884135485898392,0.2519989648765962,-0.1499895469266145,0.052914643148445364]"
381,C++ Primer 4th：第九章 《顺序容器》学习心得,"[-0.5436779077374019,-0.21877606058467966,0.31351736439842787,0.3236385696436198,0.16721579160237818]"
391,在GATE工具中使用自己的XSD模式进行语义标注,"[-0.027558025439089584,-0.15323576158693722,0.22541512496949684,-0.190523011576865,-0.003503907658159733]"
402,玩大灾变出现“igxprd32显示驱动程序已经停止正常工作”解决方法,"[-0.08648679945617914,-0.14016358950175345,0.20841995660215618,-0.028881603381596507,0.0224158569611609]"
408,QT-creater一个非常棒的教程,"[-0.02947458508424461,-0.14375605879396927,0.19227201329180743,-0.29677798694408525,-0.057498597903404294]"
410,让QT支持中文的方法,"[-0.018045808010113736,-0.10953845113981515,0.2614194970888396,0.04141596604604274,0.020520026644226162]"
414,Linux下GCC和Makefile实例（从GCC的编译到Makefile的引入）,"[-0.005078617832152105,-0.20079285352960274,0.32596216761593816,-0.06791876968531775,0.08475538638424174]"
444,[转]office - word2010每次打开弹出配置框解决方法,"[-0.05614281186523537,-0.056260831890006864,0.15797578682502111,-0.10261270123844346,0.09273888799517106]"
449,[C++]win32输出当前系统时间函数，可用以程序计时,"[-0.10517542254334936,0.05065928043525976,0.14799297350691631,0.2106439821945969,0.0057783256003555526]"
454,[PHP]发送邮件方法介绍和代码示例,"[-0.042959102627084876,0.06729069055546585,0.17213348363639272,-0.1182936019497594,0.031345393872056974]"
466,[网址]在线转换编码-BASE64_URLENCODE等,"[0.014040498349529047,0.05286702742943397,0.06142867499819169,-0.23768776339980274,-0.049568278643374264]"
471,[站长]推荐一个网页分享按钮条插件JiaThis,"[-0.008180347420275211,-0.1412383202587565,0.15222906907399497,-0.27510003399103883,-0.051389386231700585]"
478,c/c++批量向mysql插入数据,"[-0.0673775363922713,0.14237504287123465,0.19657865442349104,0.155074543550786,-0.01463588836359913]"
480,mysql用命令行链接远程主机的方法,"[-0.012165859844045418,-0.0384547230328041,0.32720319980657414,-0.10346568712817603,0.06806477958238438]"
483,phpmyadmin远程连接mysql数据库的方法,"[-0.13668318661562737,-0.025063125416636464,0.31303452499192747,-0.11127742916544518,0.09376077400407419]"
485,被深深鄙视的2012找暑期实习，哥很伤心,"[-0.08061784367333641,-0.16406189720859105,0.1505571818789966,-0.09438441896321707,-0.08010969143978566]"
491,程序员找工作网啊站-计算机专业学生必看,"[-0.06242689903454101,-0.1887627091944321,0.191690836938852,-0.16427872265644725,-0.06606192453413284]"
495,WIN7下硬盘安装Ubuntu 11.10系统成功,"[0.018184318320026597,0.006114553428760925,0.24745341255775088,-0.259217055248568,0.04988469209602493]"
499,Dedecms备份还原网站有效方法,"[-0.06359166976854427,-0.07333200229306612,0.2092896618730159,-0.18896761696740258,0.1075557942911074]"
502,按大小拆分超大文件的方法（本文测试了一个62G的文件）,"[-0.001860921687257961,-0.1213465257016711,0.2599953962605416,-0.03948850229513362,0.06571646523758122]"
505,win7系统笔记本设置成虚拟WiFi热点（即“无线路由器”）,"[-0.07948496537475629,-0.07080059491896203,0.21326237786001057,-0.0639074743660587,-0.00036164318234134545]"
512,Adobe Dreamweaver CS6官方简体中文版安装+破解过程,"[0.008329854249173114,-0.07502869154446788,0.20854694629914217,-0.3319929120581477,0.02073933844935269]"
515,看完这20部电影相当于学了经济学（投资理财必看电影）,"[-0.12071787825339682,-0.11420227911838257,0.13255301133414799,-0.06229204170670527,-0.09765941309850446]"
540,C++拆分字符串代码（实现split）,"[-0.3375572318656613,0.12969260689620252,0.13928638531462006,0.49464110214182216,0.0574685142537498]"
545,[C++]数据结构之堆-上滤下滤以及用于排序,"[-0.32280575367183956,-0.02100504881712378,0.07508162954717033,0.4962401677729495,-0.038949582345222916]"
548,有句话说的非常好,"[-0.10741404081168382,-0.17997581351386466,0.17078845416317168,-0.1331185102751276,-0.09703176539371033]"
576,PHP操作符可变变量测试变量等总结,"[-0.13329610049683657,0.019557909354860195,0.26333737718288636,0.11317957717927327,0.12268862001425507]"
581,PHP对文件的操作总结,"[-0.06819434952034789,-0.05160570824637117,0.26306349266668655,0.08000286800927142,0.07909965757474965]"
591,PHP数组使用、特性、函数的总结,"[-0.23970700892326952,0.05371251864954061,0.29527463275728,0.18630070751292882,0.1500804142995867]"
600,PHP字符串函数、知识要点总结,"[-0.20112832976514794,0.04777397745709004,0.19392963920625642,0.22672832974385732,0.0706320793150095]"
604,Windows Live Writer快捷方式（打开服务器文档等）,"[-0.3655836682351086,-0.060649639781644595,0.29977043471749754,-0.2869009721137944,-0.010986237323552531]"
611,Redis详细完整教程-windows下的安装、测试(php+redis+mysql),"[-0.05277178483699415,0.07946107706741588,0.2814290459835569,-0.16751641549154084,0.07833215689958649]"
629,Redis+Mysql模式和内存+硬盘模式的异同,"[-0.10354483721483335,-0.17018468760401376,0.3114049961983327,-0.10616477866549794,0.04484424805402751]"
636,PHP100视频教程2012版解压密码,"[-0.04863274377975159,-0.005272058713272578,0.12202123968248688,-0.10100693857615314,-0.05813943251694848]"
639,"windows下PHP环境（apache,PHP,Mysql）详细配置方法","[-0.014445533922619441,-0.019808119387281213,0.38003798872063105,-0.19230488146062602,0.07920814697038044]"
647,新浪微博的mid转换成base62格式的PHP函数,"[-0.2598795754516275,0.23781954497928345,0.06987754237641398,0.3368506029274305,-0.02838669570030185]"
655,情理之中又意料之外的超强减肥方法,"[-0.10985085563479405,-0.1455421648313798,0.08446112588312658,-0.09577102780817671,-0.12106097497521563]"
658,个人博客SEO第一步-提交自己的网站,"[-0.009535641082417156,-0.022956362252548938,0.1169402609886117,-0.30148577963868745,-0.062429991138915966]"
675,数据采集必备知识-php计划任务的实现,"[-0.08334561637003933,-0.038793055222372703,0.2970884536826662,-0.043747270432562706,0.10023426267499931]"
678,MySQL-python Windows下EXE安装文件下载,"[0.06584214941214989,-0.07273899239542729,0.33479265635285305,-0.26755226934876514,0.0416166883893311]"
686,Python操作Mysql实例代码教程（查询手册）,"[-0.03855212586329861,0.1201578562700616,0.2745106685904835,-0.1148718562781538,0.04881782914615944]"
700,数据采集技术之在Python中Libxml模块安装与使用XPath,"[0.007774751919520954,0.05576102636217033,0.19613197845735805,-0.16569199751302674,0.021298624733254425]"
707,数据采集简单示例：采集爱帮网电话号码,"[0.012828716257631425,0.032586207336169626,0.1821956735448025,-0.12628872907232672,0.05575809023187807]"
712,Python中的操作符重载,"[0.05084754470125994,0.328146189363629,0.3510892591178639,0.20717071353823746,0.12094215022571873]"
717,PHP魔法方法之__sleep()方法和__wakeup()方法,"[-0.036830445930261066,0.2386010257862844,0.36940344368854355,0.07289221576154903,0.08949760686404802]"
722,Python知识之什么是*args和**kwargs？,"[-0.17225509082267354,0.11246034489128708,0.3020878448728318,0.26114412344037746,0.167641415547441]"
724,Python关于apply的知识,"[-0.12470357047198845,-0.059272404964635705,0.25796224015790065,0.035570154952929936,0.09943552061638518]"
731,PHP数据采集之使用CURL、DOMDocument和DOMXPath,"[-0.10284305245055064,0.1030195047341422,0.044195252380068356,-0.07912779954573924,0.05659091666370327]"
734,php判断远程文件或网站是否能打开,"[0.0043434616497624945,0.23941693346514129,-0.06893203928827496,0.007560024822969271,0.022348527586948566]"
740,2012年度PHP最佳类库收集,"[-0.06026787552893018,-0.1786971686145243,0.2727486077015503,-0.11334282993070352,0.005662173424095202]"
747,python在linux下安装方法（解决旧版本冲突）,"[0.03549089453930796,-0.015341171635721457,0.14849002114956228,-0.10638475530898907,0.005398165510022934]"
749,eclipse远程发布代码的方法（SSH自动同步）,"[0.03399675470019612,-0.03914048520099615,0.2297023655672636,-0.2754059689659103,0.08381844205982007]"
754,Ubuntu 安装 PostgreSQL 和 python-psycopg2基础教程（以及错误解决）,"[-0.06940416269973261,0.19544040965128376,0.2640695148373205,-0.11236154492651247,0.06519246647516375]"
756,putty连接linux出现中文乱码的解决方法,"[-0.10101932752877474,-0.1361602069967884,0.28533067958729375,-0.10298583259553475,0.06861112494084795]"
781,重装Win7后恢复和找回Ubuntu启动项,"[-0.029272909172800527,-0.09229835543095635,0.25675844415284305,-0.19220752635422678,0.02121637762937735]"
790,《SEO实战密码》高清电子版PDF下载地址（SEO学习必备）,"[-0.025520387183860294,-0.03981633481453173,0.1387067605392076,-0.2707894137565745,-0.0953875933191739]"
796,Python使用cookielib和urllib2模拟登陆新浪微博并抓取数据,"[-0.0828842955698028,0.13527810008393704,0.20689241715358453,-0.0688427832084252,0.04103722139908867]"
808,珠玑：在仔细研究数据的基础上得出程序的结构,"[-0.07629318917828772,-0.19184857779794717,0.2597080770503373,-0.015558406825648598,0.05420396432458642]"
811,"django1.4设置模板路径和CSS,JS,image等路径的方法","[-0.0807978297717613,0.044494264998552406,0.24061322030667895,-0.04634366135833114,0.13618559442716935]"
814,Django中定制自己的User和Group管理模块（类似对admin的二次开发）,"[-0.08730845097697487,-0.14275230209980355,0.3106462666299194,-0.13765584676722553,0.02736702890956382]"
818,Python模拟登陆新浪微博并实现投票功能,"[-0.06757123721435047,0.12762297839940842,0.1894671038817906,-0.08119091676616731,0.034718281419387195]"
821,PHP远程操纵Wordpress的方法(流程剖析）,"[-0.12378999336696075,0.6422632427930884,0.06863176936777027,-0.2629385343109123,-0.08018390041066699]"
855,使用Google搭建自己的SVN或Git或Mercurial代码服务器之完美教程,"[-0.025416031708856198,-0.1544026551920582,0.28482397971166806,-0.20842302963137627,0.01629329378293319]"
874,2012年度读写Excel文件的最佳PHP类库收集,"[0.007723310674106683,-0.1696611161691869,0.2923827389237082,-0.09549383635876262,0.06719456808935416]"
886,PHP读写Word文件的最佳类库收集,"[-0.09526177848333885,-0.1862233478796521,0.2490687678157548,-0.14622390646170394,0.1227515526452886]"
897,国外10个非常有趣的PHP博客,"[-0.10505389558475757,-0.08217284006977014,0.19836711078317146,-0.18163840295720762,-0.02965747084572592]"
912,PHP的验证码实现（w3schools推荐）,"[-0.26171656049302466,0.3304813331958936,-0.04168533233248375,0.18782482885086912,-0.07573730463390144]"
914,程序员做开发，前台、后台、测试哪个累？,"[-0.09604364004917443,-0.1664521042839624,0.1918756307568401,-0.1192922038026154,0.029099853411025833]"
920,PHP创建和解析JSON数据的方法,"[-0.0923277629796796,-0.11400335824812277,0.32121121729674923,-0.018644288007635623,-0.02904274076318473]"
930,PHP和MySQL处理树状、分级、无限分类、分层数据的方法,"[-0.19030674524622668,0.06581761242967282,0.2854807223999756,0.09778736066987306,0.10467215125798446]"
955,Ubuntu10.10 Server+Nginx+Django+Postgresql安装步骤,"[0.34981386061664155,0.5026579075114891,0.24356988982808248,-0.639153177319421,0.11166866588784508]"
