word,vector
26985,"[0.0395696796476841,-0.013431495055556297,-0.09283150732517242,0.0201389379799366,-0.03567402809858322]"
5451,"[0.003618728369474411,-0.02893747016787529,-0.09830936044454575,0.005184247624129057,-0.030466876924037933]"
4018,"[-0.06305161118507385,0.041326358914375305,0.07751432806253433,-0.07389817386865616,0.26412901282310486]"
4056,"[-0.16142836213111877,0.09143305569887161,-0.017506329342722893,-0.09343364089727402,0.1015850305557251]"
32584,"[0.006333969533443451,-0.052930474281311035,0.04605148732662201,-0.07571069896221161,-0.04346013441681862]"
6909,"[-0.12138362228870392,0.0001957956701517105,-0.0790177658200264,0.09712893515825272,0.06671442091464996]"
205,"[-0.0344475656747818,-0.0849263146519661,0.06693398952484131,0.013557001017034054,-0.034081123769283295]"
2014,"[-0.08268675953149796,0.0840328261256218,-0.007414170540869236,-0.07445581257343292,0.011245433241128922]"
193609,"[-0.1380772590637207,-0.05439506843686104,0.011881677433848381,-0.09223637729883194,0.036096736788749695]"
45,"[0.15020254254341125,-0.0048596481792628765,0.004288565367460251,-0.011686244048178196,-0.325237900018692]"
127108,"[-0.2267727255821228,-0.1014770045876503,0.04023578390479088,-0.015452414751052856,0.10848183184862137]"
6979,"[-0.14830130338668823,-0.08044348657131195,-0.04924344643950462,0.04111776500940323,0.07372347265481949]"
5608,"[-0.2860218286514282,-0.017074720934033394,0.08312728255987167,0.06587892770767212,0.06945251673460007]"
515,"[0.11671818047761917,0.21348673105239868,-0.07162536680698395,0.06731453537940979,-0.4530740976333618]"
86628,"[-0.15277427434921265,0.03046761080622673,-0.006782629527151585,-0.002465972676873207,0.13726958632469177]"
64034,"[-0.22941641509532928,0.06456035375595093,-0.05859154090285301,-0.12838782370090485,0.09465803951025009]"
1210,"[1.332298994064331,0.7147838473320007,0.1666044443845749,-1.4949575662612915,0.15965065360069275]"
1673,"[0.100340336561203,0.03655022755265236,0.0015291331801563501,-0.17170916497707367,0.0016889366088435054]"
193571,"[-0.3300688564777374,-0.05308014526963234,-0.16380776464939117,-0.07789914309978485,0.04956342279911041]"
67923,"[-0.18746018409729004,-0.03509640321135521,-0.05639805272221565,0.0659995898604393,0.012798327021300793]"
6290,"[-0.08627243340015411,-0.018637731671333313,0.0549473874270916,-0.0973653644323349,0.002390023320913315]"
1554,"[-0.09586098045110703,-0.0820852741599083,0.0379180908203125,0.01963818445801735,-0.06223979964852333]"
58154,"[-0.16439278423786163,0.037386972457170486,-0.14693289995193481,-0.005810330621898174,0.025697240605950356]"
574,"[0.029747886583209038,0.039362840354442596,0.005492698401212692,0.10049722343683243,-0.12469299137592316]"
2935,"[-0.19459861516952515,0.054278820753097534,0.03136295825242996,0.08307607471942902,0.01470664981752634]"
4621,"[0.032067492604255676,-0.06744851917028427,0.10261466354131699,0.08511321991682053,-0.05534982308745384]"
60766,"[-0.20169101655483246,-0.03352975845336914,0.02416105382144451,0.04705033823847771,0.0886024460196495]"
4464,"[-0.14130020141601562,-0.012750731781125069,-0.10198686271905899,0.020747646689414978,0.026477837935090065]"
2371,"[-0.10334775596857071,-0.04975208640098572,-0.13053829967975616,-0.05376773327589035,0.0538383424282074]"
1262,"[0.41786128282546997,0.46590542793273926,-0.14418792724609375,-0.782813310623169,-0.10583975166082382]"
4386,"[-0.08836143463850021,-0.007133971434086561,0.07326807081699371,-0.12346217036247253,-0.01664990931749344]"
121338,"[0.009811695665121078,-0.039084501564502716,-0.046609532088041306,-0.11900610476732254,-0.07247048616409302]"
103228,"[-0.3606919050216675,-0.030190711840987206,-0.09029629826545715,-0.09265993535518646,0.17498081922531128]"
3723,"[-0.07479279488325119,-0.040967218577861786,-0.03209061548113823,0.04426382854580879,0.15001118183135986]"
8939,"[0.02310144156217575,-0.05491297319531441,0.026938920840620995,0.05892953649163246,0.010465027764439583]"
1690,"[0.12798865139484406,0.027281910181045532,0.011207407340407372,-0.1683199405670166,0.005898343399167061]"
5181,"[0.02376224845647812,0.02750389277935028,0.05965990200638771,0.026272278279066086,0.020940912887454033]"
2240,"[0.0030685802921652794,0.08362329751253128,0.05033664032816887,-0.03550160676240921,0.027628496289253235]"
164179,"[-0.6018161177635193,-0.07415454089641571,-0.07507292926311493,-0.18201972544193268,0.234529510140419]"
137857,"[-0.2161712795495987,-0.01886715367436409,-0.03422384709119797,-0.06507295370101929,0.15914134681224823]"
3556,"[-0.32155847549438477,0.08593106269836426,0.08394896984100342,0.09948500990867615,0.167545884847641]"
1446,"[-0.01587294228374958,0.019194843247532845,0.062841035425663,-0.07496219128370285,0.06719276309013367]"
